,weekday,minutes_since_midnight,apparent_temperature (°C),precipitation (mm),cloud_cover (%),shap weekday,shap minutes_since_midnight,shap apparent_temperature,shap precipitation,shap cloud_cover
4474,6.0,473.0,3.604,0.0,100.0,-23.10368928597373,4.517344376782577,1.6529919035633442,-0.6901333921750359,4.3475778871178665
4475,1.0,818.0,5.9445834,0.0,54.309723,0.19638498665890936,45.47707360647123,1.637601515074567,-0.07687661794821299,1.3155000400741859
4476,3.0,981.0,9.994833,0.0,100.0,-0.4975395658612314,52.36624226421117,-0.423793802162014,-0.358672292629878,6.545073818862442
4477,6.0,497.0,13.58925,0.0,100.0,-20.90525374124448,8.826770027180515,-4.593252957562605,-0.6856901586055768,4.611738351285458
4478,6.0,141.0,-2.8741667,0.0,0.64944446,-2.3305471874078254,-59.84767931210996,1.0348717588384915,-0.18142393358548947,-4.154348296503228
4479,0.0,1270.0,20.56636,0.0,1.1797222,12.201158044119666,-0.9398964525461246,-2.0367487643361133,0.5285860984325379,-24.96491289289793
4480,6.0,1042.0,4.725167,0.0,48.748333,-1.2542861074606417,60.17612002825737,4.122520943840348,-0.37914913062255096,-5.919309435129165
4481,3.0,163.0,11.647195,0.0,53.300835,-0.8573408736387744,-65.87058446244397,0.2213109563191651,-0.025980073173842655,-1.6392519773642218
4482,6.0,1042.0,22.984028,0.0,30.0,-6.53967963814735,51.35335308372974,-11.746753377715761,-0.33378849506378083,-6.813269819815956
4483,5.0,754.0,14.434167,0.0,56.43889,-2.0523283754189734,51.69997283832232,-3.09538181984425,-0.46961629354953693,-4.7332802019914
4484,0.0,342.0,11.3755,0.236,57.685,1.2405679239134173,-60.95141221912702,-1.9614564407567219,-0.5144384598433973,0.14989728592832607
4485,0.0,295.0,-0.5095556,0.008222222,81.835556,1.9887338041265767,-72.06969933817786,-0.3594440762201887,0.14515078177054752,-0.27889034380515687
4486,1.0,46.0,14.9331665,0.07772222,99.10889,1.1077676799297116,-71.86127332067493,0.24589757486184416,0.025921218335625884,2.9682590726415308
4487,4.0,941.0,21.407778,0.9049444,81.049446,-2.9688278698325092,49.955897695481774,-10.444012377997248,1.2727456006010396,5.805444202780725
4488,0.0,1150.0,5.8177776,0.3288889,92.35555,11.055532710055502,56.74422158742946,0.6541390943030603,-0.25588271756967274,9.700748173495136
4489,3.0,502.0,-3.0400555,0.0,90.0,5.7233099345366245,29.966662574609117,4.128645181258525,-0.14600952247779153,-0.8958357093731544
4490,5.0,759.0,21.220194,0.0,4.5830555,-1.0695072704156097,49.13282844030855,-15.776526832441489,-0.24394147650401177,-10.870412372608978
4491,2.0,545.0,-0.187,0.0,27.905834,0.981931686421257,35.803319325665626,3.6174681369662247,-0.09798146494230098,-0.6716496127645186
4492,1.0,1414.0,-1.7305555,0.0,43.20139,5.297431183278544,-58.15692282336951,-4.356740405539674,0.28741053771972425,-0.6337576875885329
4493,3.0,1016.0,22.85325,0.0,34.921944,-0.7141627568999773,49.594355953832505,-7.299730698168281,-0.09395384252071937,-5.396252005795642
4494,1.0,1092.0,4.0174446,0.57936114,98.555275,2.9785816268325167,71.49155799559752,3.2602343516250496,0.2269583984414707,18.63359566467006
4495,3.0,261.0,4.2862225,0.0,87.27556,-0.04794000120956632,-71.0622298015356,-0.3735937527020763,0.0646433195273044,-0.25993978691101116
4496,2.0,586.0,1.84975,0.0,41.29,-0.8633590581019952,36.71587490886447,3.071612140933669,-0.1420791145165805,-3.505062795579433
4497,1.0,253.0,-1.8868889,0.0,100.0,0.13012207428615952,-73.98067618280649,1.250563884973527,0.11631478846072829,4.636828814049563
4498,6.0,1332.0,16.755333,1.3126667,100.0,-10.650797292133172,-39.509881652732695,-1.684728436807791,-0.04795710001389386,5.396827232599259
4499,5.0,1432.0,2.4,0.0,66.640274,-7.497930903911598,-63.78591421314083,0.05446151546637257,0.13551241012414206,-0.5920786514679612
4500,1.0,179.0,12.101084,0.89675,86.151665,0.6493459741671863,-68.75904553071658,0.5041509202520036,-0.4480384848117862,0.5584107652703922
4501,3.0,537.0,3.2649446,0.0,98.60833,1.836955308586342,26.781571548849353,2.470749150087435,-0.1325783172051147,-1.3325207517842448
4502,1.0,1325.0,10.190166,1.7901666,100.0,4.3699317324559015,-34.86339632522066,-1.8998479179640633,-6.212730029682318,6.306589718202751
4503,0.0,382.0,11.523723,0.0,66.87417,7.249728926161923,-10.098749036053821,0.027289436201254347,1.0918466967741662,-0.5911600318153716
